date,sku,scent_name,rating,scent_strength,scent_appeal,cleaning_power,cap_pouring
2026-06-26,CZ,Signature Cozy,5.0,0.0,5.0,5.0,3.0
2026-06-26,GH,Golden Hour,1.0,-1.0,1.0,4.0,4.0
2026-06-25,MM,Malibu Mornings,5.0,0.0,5.0,5.0,5.0
2026-06-25,GH,Golden Hour,5.0,0.0,5.0,5.0,5.0
2026-06-25,CZ,Signature Cozy,3.0,-1.0,3.0,5.0,5.0
2026-06-25,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-25,CZ,Signature Cozy,2.0,-1.0,2.0,4.0,5.0
2026-06-25,AW,Alpine Woods,5.0,0.0,5.0,5.0,1.0
2026-06-24,SD,Sugar Dew,5.0,0.0,5.0,4.0,3.0
2026-06-24,SD,Sugar Dew,5.0,0.0,4.0,4.0,2.0
2026-06-24,DP,Desert Poppy,1.0,-1.0,2.0,3.0,4.0
2026-06-24,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-24,VM,Vanilla Moon,5.0,0.0,5.0,5.0,5.0
2026-06-24,VM,Vanilla Moon,5.0,0.0,5.0,4.0,3.0
2026-06-24,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-23,CZ,Signature Cozy,5.0,0.0,4.0,4.0,4.0
2026-06-23,SD,Sugar Dew,5.0,0.0,5.0,5.0,5.0
2026-06-23,GH,Golden Hour,5.0,0.0,5.0,5.0,5.0
2026-06-23,CZ,Signature Cozy,5.0,-0.5,5.0,5.0,5.0
2026-06-23,AW,Alpine Woods,5.0,0.0,5.0,5.0,5.0
2026-06-23,CZ,Signature Cozy,1.0,-1.0,1.0,3.0,3.0
2026-06-23,MM,Malibu Mornings,4.0,0.0,4.0,5.0,5.0
2026-06-23,GH,Golden Hour,3.0,0.0,3.0,5.0,5.0
2026-06-22,SD,Sugar Dew,5.0,-0.5,5.0,4.0,1.0
2026-06-22,AW,Alpine Woods,1.0,-1.0,3.0,3.0,5.0
2026-06-22,MM,Malibu Mornings,5.0,0.0,5.0,5.0,4.0
2026-06-22,GH,Golden Hour,5.0,0.0,5.0,5.0,4.0
2026-06-22,SD,Sugar Dew,5.0,0.0,5.0,5.0,4.0
2026-06-22,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-22,VM,1 Pack,1.0,,,,
2026-06-22,DP,Desert Poppy,5.0,0.0,4.0,5.0,4.0
2026-06-22,VM,Vanilla Moon,5.0,0.0,5.0,5.0,5.0
2026-06-22,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-22,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-22,SD,Sugar Dew,5.0,0.0,5.0,5.0,4.0
2026-06-22,AW,Alpine Woods,5.0,0.0,5.0,5.0,5.0
2026-06-21,CZ,Signature Cozy,5.0,0.0,5.0,4.0,4.0
2026-06-21,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-20,CC,Central Coast,5.0,0.0,5.0,5.0,4.0
2026-06-20,AW,Alpine Woods,5.0,0.0,5.0,5.0,3.0
2026-06-19,DP,Desert Poppy,2.0,0.0,2.0,2.0,2.0
2026-06-19,CZ,Signature Cozy,3.0,0.5,3.0,4.0,4.0
2026-06-19,CZ,Signature Cozy,5.0,0.0,5.0,5.0,1.0
2026-06-19,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-18,VM,Vanilla Moon,5.0,0.0,5.0,5.0,5.0
2026-06-18,AW,Alpine Woods,5.0,0.0,5.0,4.0,4.0
